Name,Price,Link,Customer Review,Review Count,Is Amazon's Choice (Recommendation),Seller,Original Listing Price (If Applicable),Specs List(If Applicable),Item Description,Shipping Option,Returning Option,Item Stock Level,Protection Plan Offered,Protection Plan Price (2 year),Protection Plan Price (4 year)
"Asus ROG Strix Scar III (2019) Gaming Laptop, 15.6” 240Hz IPS Type FHD, NVIDIA GeForce RTX 2060, Intel Core i7-9750H, 16GB DDR4, 1TB PCIe Nvme SSD, Per-Key RGB KB, Windows 10, G531GV-DB76","$1,699.99",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0544911XI2CT87F652P&url=%2FGaming-GeForce-i7-9750H-Windows-G531GV-DB76%2Fdp%2FB07S3L9LPT%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dgaming%2Blaptop%26qid%3D1583964756%26sr%3D8-1-spons%26psc%3D1&qualifier=1583964756&id=4884100951070573&widgetName=sp_atf,4.4,127,True,ASUS," $1,799.99",144Hz | 512GB SSD | RTX 2070 / 240Hz | 1TB SSD | RTX 2060 / 240Hz | 1TB SSD | RTX 2070,"Nvidia GeForce RTX 2060 6GB GDDR6 (base: 1110MHz, Boost: 1335MHz, TDP: 80W) 
 Latest 9th Gen Intel Core i7-9750h Processor.Bluetooth 5.0 
 240Hz 15.6” Full HD 1920x1080 IPS Type Display 
 16GB DDR4 2666MHz RAM | 1TB PCIe SSD | Windows 10 Home | Gigabit wave 2 Wi-Fi 5 (802.11AC 2x2) 
 Rog intelligent cooling Thermal system with dual 12V fans, anti-dust technology, and adjustable fan modes",FREE Shipping,FREE Returns,In Stock.,True,$137.99,$199.99
"CUK MSI GF65 Thin Gaming Laptop (Intel i7-9750H, 16GB RAM, 512GB NVMe SSD, NVIDIA GeForce RTX 2060 6GB, 15.6"" FHD 120Hz IPS-Level, Windows 10 Home) Gamer Notebook Computer","$1,123.99",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_2?ie=UTF8&adId=A025971635N2Q848K4WMC&url=%2FGF65-i7-9750H-IPS-Level-Notebook-Computer%2Fdp%2FB07YLW2Y3G%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dgaming%2Blaptop%26qid%3D1583964756%26sr%3D8-2-spons%26psc%3D1&qualifier=1583964756&id=4884100951070573&widgetName=sp_atf,4.5,35,False,Computer Upgrade King,N/A,16GB RAM | 512GB NVMe SSD / 32GB RAM | 1TB NVMe SSD / 32GB RAM | 2TB NVMe SSD / 32GB RAM | 512GB NVMe SSD / 64GB RAM | 1TB NVMe SSD / 64GB RAM | 2TB NVMe SSD,"Processor: Intel Core i7-9750H Six Core Processor (12MB Cache, 2.6GHz-4.5GHz) 45W 
 RAM: 16GB DDR4 2666MHz | Hard Drive: 512GB NVMe Solid State Drive 
 Keyboard: Single Backlight with Anti-Ghost Key + Silver Lining | Operating System: Windows 10 Home x64 
 Graphics: NVIDIA GeForce RTX 2060 6GB GDDR6 | Display: 15.6"" Full HD 120Hz IPS-Level Thin Bezel Display (1920 x 1080) 
 16GB RAM Upgrade | 3-Year CUK Limited Warranty (View warranty section below for more details.)",FREE Shipping,FREE Returns,Only 7 left in stock - order soon.,True,$120.99,$169.99
"Asus TUF FX505DT Gaming Laptop, 15.6” 120Hz Full HD, AMD Ryzen 5 R5-3550H Processor, GeForce GTX 1650 Graphics, 8GB DDR4, 256GB PCIe SSD, Gigabit Wi-Fi 5, Windows 10 Home, FX505DT-AH51, RGB Keyboard",$649.99,https://www.amazon.com/R5-3550H-Processor-Graphics-FX505DT-AH51-Keyboard/dp/B07VBK4SYS/ref=sr_1_3?keywords=gaming+laptop&qid=1583964756&sr=8-3,4.3,963,True,N/A, $699.99,Metallic | Core i7 | 512G | GTX 1650 / Metallic | Ryzen 7 | 256 + 1 | GTX 1660Ti / Ryzen 5 | 256G | GTX 1650 / Ryzen 7 | 512G | RTX 2060,"Nvidia GeForce GTX 1650 4GB graphics (base: 1395MHz, Boost: 1560MHz, TDP: 50W) 
 Quad-core AMD Ryzen 5 r5-3550h processor 
 15.6” 120Hz full HD (1920x1080) IPS-type display 
 256GB NVMe SSD | 8GB DDR4 RAM | Windows 10 Home 
 Gigabit wave 2 Wi-Fi 5 (802.11AC) 
 Durable gaming laptop with MIL-STD-810 military standard construction 
 Dual fans with anti-dust technology | RGB backlit Keyboard rated for 20-million keystroke durability",FREE Shipping,FREE Returns,In Stock.,True,$73.99,$124.99
"Acer Predator Helios 300 Gaming Laptop, Intel Core i7-9750H, GeForce RTX 2060, 15.6"" Full HD 144Hz Display, 3ms Response Time, 16GB DDR4, 512GB PCIe NVMe SSD, RGB Backlit Keyboard, PH315-52-75DE,Black","$1,299.99",https://www.amazon.com/Acer-Predator-i7-9750H-Response-PH315-52-75DE/dp/B07YM9KTW4/ref=sr_1_4?keywords=gaming+laptop&qid=1583964756&sr=8-4,4.5,1655,False,Acer,N/A,i5-9300H/GTX 1660Ti/8GB/512GB / i7-9750H/GTX 1660Ti/16GB/256GB / i7-9750H/GTX 1660Ti/16GB/512GB / i7-9750H/RTX 2060/16GB/512GB / Notebook only / Notebook with headset / Notebook with mousepad,"9th Generation Intel Core i7-9750H 6-Core Processor (Up to 4. 5GHz) with Windows 10 Home 64 Bit 
 NVIDIA GeForce RTX 2060 with 6 GB of dedicated GDDR6 VRAM 
 15. 6"" Full HD (1920 x 1080) Widescreen LED-backlit IPS display (144Hz Refresh Rate, 3ms Overdrive Response Time, 300nit Brightness & 72% NTSC) 
 16GB DDR4 2666MHz Memory, 512GB PCIe NVMe SSD (2 x PCIe M. 2 Slots | 1 Slot Open for Easy Upgrades) & 1 - Available Hard Drive Bay 
 Backlit Keyboard | LAN: Killer Gaming Network E2500 | Wireless: Killer DoubleShot Pro Wireless-AX 1650 WiFi 6 802. 11ac | 4th Gen All-Metal AeroBlade 3D Fan",FREE Shipping,FREE Returns,"In stock on March 17, 2020.",True,$128.99,$183.99
"Newest HP Pavilion 15.6"" FHD IPS Premium Gaming Laptop, AMD 2nd Gen Quad-Core Ryzen 5 3550H, 8GB RAM, 256GB SSD, NVIDIA GeForce GTX 1050 3GB GDDR5, Backlit Keyboard, Windows 10",$619.00,https://www.amazon.com/HP-Pavilion-Premium-Quad-Core-Keyboard/dp/B0814QQW56/ref=sr_1_5?keywords=gaming+laptop&qid=1583964756&sr=8-5,4.4,50,True,HP,N/A,N/A,"AMD 2nd Generation Ryzen 5 3550H Processor (Quad-core, 2.1 GHz Up To 3.7 GHz, 4 MB Cache), 8GB DDR4 Memory, 256GB SSD 
 15.6"" Full HD (1920 x 1080) IPS Widescreen LED-backlit Display, NVIDIA GeForce GTX 1050 3GB GDDR5 
 10/100/1000Mbps Ethernet, 802_11_AC, Bluetooth 4.1, Card Reader, HD Audio with Stereo Speakers, Webcam 
 1 x USB 3.1 Type-C, 1 x USB 3.1 Type-A, 1 x USB 2.0, 1 x Headphone/Speaker/Line-Out Jack, 1 x RJ-45 
 Full-size Island-style Backlit Keyboard with Numeric Keypad, Windows 10 Home 64-bit, 52.5WHr 3-cell lithium_ion, 4.96lb, Black",N/A,N/A,In Stock.,True,$73.99,$124.99
"HP Pavilion 15.6"" FHD Gaming Laptop AMD Ryzen 5-3550H, 16GB DDR4 RAM, 256GB SSD+1TB HDD, NVIDIA GTX 1050, Quad-Core up to 3.70 GHz, 1920x1080, Backlit, RJ-45 LAN, Bluetooth 5.0, USB-C, Win 10",$701.45,https://www.amazon.com/HP-Pavilion-Quad-Core-1920x1080-Bluetooth/dp/B08129Z8C2/ref=sr_1_7?keywords=gaming+laptop&qid=1583964756&sr=8-7,4.4,38,False,N/A,N/A,N/A,"AMD Ryzen 5 3550H with Radeon Vega 8 Graphics (2.1 GHz base clock, up to 3.7 GHz max boost clock, 6 MB cache, 4 cores). NVIDIA GeForce GTX 1050 with 3GB dedicated graphics memory. Featuring innovative new architecture, they deliver elite, multi-threaded processing for gaming, streaming, creativity, VR and more. 
 15.6"" diagonal FHD SVA anti-glare micro-edge WLED-backlit (1920 x 1080). With the Pavilion’s anti-glare panel, outfitted with a non-reflective, low-gloss design for less glare, even in direct sunlight. Full HD resolution and a lightning-quick refresh rate deliver smooth gameplay and lifelike visuals. 
 1x USB 3.1 Gen 1 Type-C, 1x USB 3.1 Type-A, 1x USB 2.0 Type-A, 1x RJ-45, 1x HDMI 2.0, 1x headphone/microphone combo jack. Multi-format SD media card reader. Realtek Wi-Fi 5 (2x2) and Bluetooth 5 combo. 
 10.12 x 14.17 x 0.93 in (257.05 x 359.92 x 23.62 mm). 4.96 lbs. (2.25 kgs). HP TrueVision HD camera. Bang & Olufsen audio with HP Dual Speakers and HP Audio Boost. The Pavilion’s wide rear corner vent and enlarged air inlets maximize airflow to optimize your overall performance and stability, keeping the machine cool during intense marathon sessions. 
 Achieve next-level gaming performance with the dauntingly daring HP Pavilion 15 Gaming Laptop. Combining top-notch NVIDIA graphics with mighty AMD processing power, it brings the muscle for gaming, creating, and multitasking, so you can do it all, anywhere.",N/A,N/A,Only 5 left in stock - order soon.,True,$79.99,$129.99
"Acer Aspire 5 Slim Laptop, 15.6 inches Full HD IPS Display, AMD Ryzen 3 3200U, Vega 3 Graphics, 4GB DDR4, 128GB SSD, Backlit Keyboard, Windows 10 in S Mode, A515-43-R19L,Black",$313.41,https://www.amazon.com/Acer-Display-Graphics-Keyboard-A515-43-R19L/dp/B07RF1XD36/ref=sr_1_8?keywords=gaming+laptop&qid=1583964756&sr=8-8,4.5,4042,True,Acer, $349.99,AMD Ryzen 3 3200u / AMD Ryzen 5 3500u / AMD Ryzen 7 3700u / Notebook⠀with⠀backpack / Notebook⠀with⠀mouse / Notebook⠀Only,"AMD Ryzen 3 3200U Dual Core Processor (Up to 3.5GHz); 4GB DDR4 Memory; 128GB PCIe NVMe SSD 
 15.6 inches Full HD (1920 x 1080) Widescreen LED backlit IPS Display; AMD Radeon Vega 3 Mobile Graphics 
 1 USB 3.1 Gen 1 Port, 2 USB 2.0 Ports & 1 HDMI Port with HDCP support 
 802.11ac Wi-Fi; Backlit Keyboard; Up to 7.5 Hours Battery Life 
 Windows 10 in S mode. Maximum Power Supply Wattage 65 W",FREE Shipping,FREE Returns,In Stock.,True,$52.99,$86.99
"Lenovo Ideapad L340 Gaming Laptop, 15.6 Inch FHD (1920 X 1080) IPS Display, Intel Core i5-9300H Processor, 8GB DDR4 RAM, 512GB Nvme SSD, NVIDIA GeForce GTX 1650, Windows 10, 81LK00HDUS, Black",$721.98,https://www.amazon.com/Lenovo-Ideapad-i5-9300H-Processor-81LK00HDUS/dp/B07VC55LF5/ref=sr_1_10?keywords=gaming+laptop&qid=1583964756&sr=8-10,4.4,396,True,Lenovo,N/A,"Laptop + Bag / Laptop + Mouse Pad, medium / Laptop + Mouse Pad, small / Single","A new dimension of gaming performance awaits - with 9th-generation Intel Core i5 processors, the IdeaPad L340 gaming has the power you need to outshoot, outrun, and outsmart anyone. Includes 8GB DDR4 RAM and 512GB NVMe SSD 
 Take it to the next level - with the latest NVIDIA GeForce Graphics behind you, you can tame the hottest titles with faster, smoother, and more power-efficient gameplay. Plus, the 15.6-Inch Screen delivers a stunning full HD IPS Display with 1920 x 1080 resolution 
 A portal to a new sound Dimension - hardwired into every IdeaPad L340 gaming is advanced Dolby Audio technology. Take your mobile gaming experience to another dimension and have a real blast along the way 
 Control your own Fate - GAME in 'quick' Mode or work in 'quiet' Mode. It's your call with a simple function setting that lets you shift gears between modes, instantly. 
 Final product may vary slightly from image",FREE Shipping,FREE Returns,In Stock.,True,$79.99,$129.99
"Acer Predator Helios 300 Gaming Laptop, Intel Core i5-9300H, GeForce GTX 1660 Ti, 15.6"" Full HD 120Hz Display, 3ms Response Time, 8GB DDR4, 512GB PCIe NVMe SSD, Backlit Keyboard, PH315-52-588F,Black",$899.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A1045996BG3EHKOK66GI&url=%2FAcer-Predator-i5-9300H-Response-PH315-52-588F%2Fdp%2FB07YM9ZB3N%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dgaming%2Blaptop%26qid%3D1583964756%26sr%3D8-11-spons%26psc%3D1&qualifier=1583964756&id=4884100951070573&widgetName=sp_mtf,4.5,1655,False,Acer, $999.99,i5-9300H/GTX 1660Ti/8GB/512GB / i7-9750H/GTX 1660Ti/16GB/256GB / i7-9750H/GTX 1660Ti/16GB/512GB / i7-9750H/RTX 2060/16GB/512GB / Notebook only / Notebook with headset / Notebook with mousepad,"9th Generation Intel Core i5-9300H 4-Core Processor (Up to 4.1GHz) with Windows 10 Home 64 Bit 
 NVIDIA GeForce GTX 1660 Ti Graphics with 6 GB of dedicated GDDR6 VRAM 
 15.6"" Full HD (1920 x 1080) Widescreen LED-backlit IPS display (120Hz Refresh Rate, 3ms Overdrive Response Time, 300nit Brightness & 72% NTSC) 
 8GB DDR4 2666MHz Memory, 512GB PCIe NVMe SSD (2 x PCIe M.2 Slots | 1 Slot Open for Easy Upgrades) & 1 - Available Hard Drive Bay 
 Backlit Keyboard | LAN: Killer Gaming Network E2500 | Wireless: Killer DoubleShot Pro Wireless-AX 1650 WiFi 6 802.11ac | 4th Gen All-Metal AeroBlade 3D Fan",FREE Shipping,FREE Returns,"In stock on March 22, 2020.",True,$88.99,$139.99
"Lenovo Ideapad L340 Gaming Laptop, 15.6 Inch FHD (1920 X 1080) IPS Display, Intel Core i5-9300H Processor, 8GB DDR4 RAM, 512GB Nvme SSD, NVIDIA GeForce GTX 1650, Windows 10, 81LK00HDUS, Black",$721.98,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_2?ie=UTF8&adId=A04377172E7Z4FCOM31IX&url=%2FLenovo-Ideapad-i5-9300H-Processor-81LK00HDUS%2Fdp%2FB07VC55LF5%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dgaming%2Blaptop%26qid%3D1583964756%26sr%3D8-12-spons%26psc%3D1&qualifier=1583964756&id=4884100951070573&widgetName=sp_mtf,4.4,396,True,Lenovo,N/A,"Laptop + Bag / Laptop + Mouse Pad, medium / Laptop + Mouse Pad, small / Single","A new dimension of gaming performance awaits - with 9th-generation Intel Core i5 processors, the IdeaPad L340 gaming has the power you need to outshoot, outrun, and outsmart anyone. Includes 8GB DDR4 RAM and 512GB NVMe SSD 
 Take it to the next level - with the latest NVIDIA GeForce Graphics behind you, you can tame the hottest titles with faster, smoother, and more power-efficient gameplay. Plus, the 15.6-Inch Screen delivers a stunning full HD IPS Display with 1920 x 1080 resolution 
 A portal to a new sound Dimension - hardwired into every IdeaPad L340 gaming is advanced Dolby Audio technology. Take your mobile gaming experience to another dimension and have a real blast along the way 
 Control your own Fate - GAME in 'quick' Mode or work in 'quiet' Mode. It's your call with a simple function setting that lets you shift gears between modes, instantly. 
 Final product may vary slightly from image",FREE Shipping,FREE Returns,In Stock.,True,$79.99,$129.99
